"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100A12",2.48030059288128e-29,0.302022299159557,0.535,0.253,5.9331270482313e-25,"2","S100A12"
"MNDA.2",8.0632894377818e-28,0.426883039617784,0.881,0.655,1.92881946641179e-23,"2","MNDA"
"FOSB.1",9.49165624844723e-25,0.38344227785182,0.712,0.449,2.27049909119106e-20,"2","FOSB"
"JUN.1",4.23236550928899e-23,0.54153873280039,0.666,0.434,1.01242415347702e-18,"2","JUN"
"HLA-DPA1.1",6.25362030494361e-23,-0.742096220482635,0.584,0.741,1.49592851314556e-18,"2","HLA-DPA1"
"FCN1.2",1.90544514578982e-22,0.391704701377477,0.963,0.807,4.55801533324383e-18,"2","FCN1"
"CSF3R",4.70451527647768e-22,0.325127887610629,0.597,0.355,1.12536709928623e-17,"2","CSF3R"
"CSF1R.2",1.00574941611973e-20,-0.570619263207833,0.414,0.599,2.4058531783e-16,"2","CSF1R"
"NCF1",1.94519909702799e-19,0.330999297196175,0.508,0.297,4.65311076000067e-15,"2","NCF1"
"GPX1.1",2.51894567466445e-19,0.344707345524198,0.746,0.53,6.02556994836484e-15,"2","GPX1"
"LYN.2",2.00180347248296e-18,-0.537787027337013,0.595,0.724,4.78851408652648e-14,"2","LYN"
"CD36",1.10049637411985e-17,0.309077909728018,0.577,0.365,2.63249737653208e-13,"2","CD36"
"PLBD1",1.36917651684794e-16,0.278079314806198,0.568,0.363,3.27520714595196e-12,"2","PLBD1"
"MEGF9.1",3.10169492287026e-16,0.304713908130526,0.657,0.456,7.41956442499796e-12,"2","MEGF9"
"GRN.1",6.14765818220752e-16,0.294084123310465,0.858,0.679,1.47058131376586e-11,"2","GRN"
"CTSD",6.08946691316662e-14,0.259288614594596,0.588,0.409,1.45666138029859e-09,"2","CTSD"
"PTAFR",9.49826263501504e-14,0.259527687622955,0.54,0.354,2.27207940492195e-09,"2","PTAFR"
"ALDH2",2.5918984982741e-13,0.25117572899875,0.588,0.399,6.20008039772147e-09,"2","ALDH2"
"CAP1.2",3.37769082893873e-13,-0.347510851817859,0.716,0.791,8.07977423190433e-09,"2","CAP1"
"SELL",3.76548138490483e-13,0.268112874658724,0.561,0.375,9.00740802083085e-09,"2","SELL"
"APLP2.2",6.23843212506774e-13,0.250537479036318,0.92,0.825,1.49229534863745e-08,"2","APLP2"
"RPS19.2",8.56249723928438e-12,-0.378756304427749,0.705,0.792,2.04823496460922e-07,"2","RPS19"
"PIK3AP1.2",1.06804057056704e-11,-0.345338180132964,0.357,0.505,2.55485984885342e-07,"2","PIK3AP1"
"ACTB.1",1.53438062829667e-11,-0.27415100504591,0.973,0.965,3.67039190094847e-07,"2","ACTB"
"PTPRC.2",1.64637516250315e-11,-0.31067188763931,0.911,0.928,3.9382940262238e-07,"2","PTPRC"
"ITGA4.1",2.12700627274269e-11,-0.321253780763897,0.364,0.51,5.0880117050278e-07,"2","ITGA4"
"LST1.2",2.47677748972215e-11,-0.362349385951274,0.65,0.734,5.92469943316436e-07,"2","LST1"
"YBX1",7.38803547597767e-11,-0.269205924638394,0.632,0.738,1.76729196620862e-06,"2","YBX1"
"ACTR3.1",1.47879565096125e-10,-0.267825632215234,0.467,0.609,3.53742707666441e-06,"2","ACTR3"
"WARS.2",2.13783357351466e-10,-0.3423381286707,0.396,0.532,5.11391169120441e-06,"2","WARS"
"COTL1.2",2.56747563726383e-10,-0.277768000312051,0.867,0.901,6.14165847189881e-06,"2","COTL1"
"HLA-DPB1.2",5.68302862198971e-10,-0.59017877898659,0.586,0.692,1.35943727666616e-05,"2","HLA-DPB1"
