"","orig.ident","nCount_RNA","nFeature_RNA","pANN_0.25_0.005_499","DF.classifications_0.25_0.005_499","RNA_snn_res.0.5","seurat_clusters"
"HIP002.406","SeuratProject",1601,674,0.018018018018018,"Singlet","4","4"
"HIP002.407","SeuratProject",1095,679,0.00900900900900901,"Singlet","0","0"
"HIP002.408","SeuratProject",1232,673,0.045045045045045,"Singlet","4","4"
"HIP002.409","SeuratProject",1436,679,0.135135135135135,"Singlet","3","3"
"HIP002.410","SeuratProject",1506,686,0.162162162162162,"Singlet","2","2"
"HIP002.411","SeuratProject",1143,682,0.18018018018018,"Singlet","3","3"
"HIP002.412","SeuratProject",1245,678,0.018018018018018,"Singlet","2","2"
"HIP002.414","SeuratProject",1030,687,0,"Singlet","2","2"
"HIP002.415","SeuratProject",1035,687,0,"Singlet","0","0"
"HIP002.416","SeuratProject",1057,680,0.0630630630630631,"Singlet","2","2"
"HIP002.417","SeuratProject",1103,679,0,"Singlet","1","1"
"HIP002.418","SeuratProject",1238,670,0.00900900900900901,"Singlet","1","1"
"HIP002.419","SeuratProject",1316,691,0,"Singlet","2","2"
