"","orig.ident","nCount_RNA","nFeature_RNA","pANN_0.25_0.005_499","DF.classifications_0.25_0.005_499","RNA_snn_res.0.5","seurat_clusters"
"HIP002.420","SeuratProject",1099,677,0.018018018018018,"Singlet","2","2"
"HIP002.421","SeuratProject",1166,695,0.216216216216216,"Singlet","5","5"
"HIP002.422","SeuratProject",1095,694,0.027027027027027,"Singlet","2","2"
"HIP002.423","SeuratProject",1102,699,0.0630630630630631,"Singlet","5","5"
"HIP002.424","SeuratProject",1080,643,0.243243243243243,"Singlet","3","3"
"HIP002.425","SeuratProject",1266,687,0.027027027027027,"Singlet","2","2"
"HIP002.426","SeuratProject",1105,677,0.0990990990990991,"Singlet","0","0"
"HIP002.427","SeuratProject",1172,686,0.018018018018018,"Singlet","2","2"
"HIP002.428","SeuratProject",1189,682,0.0900900900900901,"Singlet","3","3"
"HIP002.429","SeuratProject",1233,695,0.0900900900900901,"Singlet","2","2"
"HIP002.430","SeuratProject",1273,696,0.045045045045045,"Singlet","0","0"
"HIP002.431","SeuratProject",1630,684,0.0720720720720721,"Singlet","4","4"
"HIP002.432","SeuratProject",1665,697,0,"Singlet","2","2"
"HIP002.433","SeuratProject",1094,694,0.018018018018018,"Singlet","2","2"
"HIP002.434","SeuratProject",1143,689,0.018018018018018,"Singlet","0","0"
"HIP002.436","SeuratProject",1214,690,0.00900900900900901,"Singlet","2","2"
"HIP002.437","SeuratProject",1236,698,0.108108108108108,"Singlet","4","4"
"HIP002.439","SeuratProject",1389,695,0.234234234234234,"Singlet","7","7"
"HIP002.440","SeuratProject",1263,695,0,"Singlet","1","1"
"HIP002.441","SeuratProject",1500,682,0.171171171171171,"Singlet","2","2"
"HIP002.442","SeuratProject",1064,699,0.00900900900900901,"Singlet","2","2"
"HIP002.443","SeuratProject",1666,693,0.189189189189189,"Singlet","3","3"
"HIP002.444","SeuratProject",1051,701,0.018018018018018,"Singlet","0","0"
"HIP002.445","SeuratProject",1299,705,0.288288288288288,"Singlet","6","6"
"HIP002.446","SeuratProject",1206,696,0.036036036036036,"Singlet","2","2"
"HIP002.449","SeuratProject",1355,696,0.00900900900900901,"Singlet","2","2"
"HIP002.450","SeuratProject",1375,704,0.036036036036036,"Singlet","2","2"
"HIP002.451","SeuratProject",1245,706,0.0720720720720721,"Singlet","2","2"
"HIP002.452","SeuratProject",1063,705,0,"Singlet","2","2"
"HIP002.453","SeuratProject",1270,708,0.00900900900900901,"Singlet","0","0"
"HIP002.454","SeuratProject",1186,703,0.045045045045045,"Singlet","1","1"
"HIP002.455","SeuratProject",1192,701,0.045045045045045,"Singlet","2","2"
"HIP002.456","SeuratProject",1330,704,0.0810810810810811,"Singlet","4","4"
"HIP002.457","SeuratProject",1348,702,0.234234234234234,"Singlet","2","2"
"HIP002.458","SeuratProject",1452,703,0.027027027027027,"Singlet","4","4"
"HIP002.459","SeuratProject",1523,698,0.045045045045045,"Singlet","4","4"
"HIP002.460","SeuratProject",1417,684,0.00900900900900901,"Singlet","2","2"
"HIP002.461","SeuratProject",1480,697,0.378378378378378,"Singlet","12","12"
"HIP002.462","SeuratProject",1672,688,0.0630630630630631,"Singlet","4","4"
"HIP002.463","SeuratProject",1179,703,0.0630630630630631,"Singlet","0","0"
"HIP002.465","SeuratProject",1553,710,0.0720720720720721,"Singlet","4","4"
"HIP002.466","SeuratProject",1090,709,0.018018018018018,"Singlet","1","1"
"HIP002.467","SeuratProject",1115,697,0.00900900900900901,"Singlet","2","2"
"HIP002.468","SeuratProject",1567,699,0.162162162162162,"Singlet","2","2"
"HIP002.469","SeuratProject",1386,700,0,"Singlet","2","2"
"HIP002.470","SeuratProject",1482,708,0.108108108108108,"Singlet","3","3"
"HIP002.471","SeuratProject",1491,698,0.027027027027027,"Singlet","4","4"
"HIP002.472","SeuratProject",1521,710,0.126126126126126,"Singlet","3","3"
"HIP002.473","SeuratProject",1217,702,0.045045045045045,"Singlet","2","2"
"HIP002.474","SeuratProject",1257,710,0.00900900900900901,"Singlet","2","2"
"HIP002.475","SeuratProject",1188,694,0.00900900900900901,"Singlet","1","1"
"HIP002.476","SeuratProject",1222,710,0,"Singlet","2","2"
"HIP002.478","SeuratProject",1361,710,0.0720720720720721,"Singlet","2","2"
"HIP002.479","SeuratProject",1249,720,0.0540540540540541,"Singlet","8","8"
"HIP002.480","SeuratProject",1235,700,0.00900900900900901,"Singlet","0","0"
"HIP002.481","SeuratProject",1604,707,0.144144144144144,"Singlet","5","5"
"HIP002.482","SeuratProject",1717,709,0.00900900900900901,"Singlet","0","0"
"HIP002.484","SeuratProject",1200,719,0.045045045045045,"Singlet","2","2"
"HIP002.485","SeuratProject",1212,714,0.045045045045045,"Singlet","2","2"
"HIP002.486","SeuratProject",1315,705,0.018018018018018,"Singlet","0","0"
"HIP002.487","SeuratProject",1345,717,0.0900900900900901,"Singlet","3","3"
"HIP002.488","SeuratProject",1339,676,0.018018018018018,"Singlet","4","4"
"HIP002.489","SeuratProject",1417,719,0.144144144144144,"Singlet","3","3"
"HIP002.490","SeuratProject",1937,704,0.126126126126126,"Singlet","2","2"
"HIP002.491","SeuratProject",1206,724,0.135135135135135,"Singlet","2","2"
"HIP002.492","SeuratProject",1213,711,0.00900900900900901,"Singlet","2","2"
"HIP002.493","SeuratProject",1189,720,0.036036036036036,"Singlet","2","2"
"HIP002.494","SeuratProject",1245,718,0.18018018018018,"Singlet","5","5"
"HIP002.495","SeuratProject",1529,705,0.0720720720720721,"Singlet","2","2"
"HIP002.496","SeuratProject",1272,718,0.18018018018018,"Singlet","3","3"
"HIP002.497","SeuratProject",1419,729,0.0630630630630631,"Singlet","1","1"
"HIP002.498","SeuratProject",1520,702,0.036036036036036,"Singlet","4","4"
"HIP002.499","SeuratProject",1058,673,0.00900900900900901,"Singlet","0","0"
"HIP002.500","SeuratProject",1247,725,0.36036036036036,"Singlet","13","13"
"HIP002.501","SeuratProject",1405,683,0.0630630630630631,"Singlet","2","2"
"HIP002.502","SeuratProject",1135,724,0.018018018018018,"Singlet","0","0"
"HIP002.503","SeuratProject",1554,712,0.027027027027027,"Singlet","4","4"
"HIP002.504","SeuratProject",1142,728,0.00900900900900901,"Singlet","0","0"
"HIP002.505","SeuratProject",1389,703,0.189189189189189,"Singlet","2","2"
"HIP002.506","SeuratProject",1194,721,0.144144144144144,"Singlet","5","5"
"HIP002.507","SeuratProject",1414,714,0.153153153153153,"Singlet","3","3"
"HIP002.508","SeuratProject",1397,702,0.162162162162162,"Singlet","7","7"
"HIP002.509","SeuratProject",1040,724,0.036036036036036,"Singlet","2","2"
"HIP002.510","SeuratProject",1170,700,0.0540540540540541,"Singlet","2","2"
"HIP002.511","SeuratProject",1257,727,0.018018018018018,"Singlet","1","1"
"HIP002.512","SeuratProject",1384,729,0.0630630630630631,"Singlet","4","4"
"HIP002.513","SeuratProject",1406,724,0.252252252252252,"Singlet","2","2"
"HIP002.514","SeuratProject",1401,717,0,"Singlet","1","1"
"HIP002.515","SeuratProject",1088,732,0.162162162162162,"Singlet","2","2"
"HIP002.516","SeuratProject",1246,718,0,"Singlet","0","0"
"HIP002.517","SeuratProject",1477,730,0.00900900900900901,"Singlet","2","2"
"HIP002.518","SeuratProject",1088,724,0.0630630630630631,"Singlet","5","5"
"HIP002.520","SeuratProject",1263,711,0.144144144144144,"Singlet","7","7"
"HIP002.521","SeuratProject",1326,718,0.306306306306306,"Singlet","11","11"
"HIP002.522","SeuratProject",1769,721,0.198198198198198,"Singlet","6","6"
"HIP002.523","SeuratProject",1150,722,0.018018018018018,"Singlet","0","0"
"HIP002.524","SeuratProject",1808,718,0,"Singlet","2","2"
"HIP002.525","SeuratProject",1158,723,0.036036036036036,"Singlet","2","2"
"HIP002.526","SeuratProject",1228,718,0.036036036036036,"Singlet","1","1"
"HIP002.527","SeuratProject",1442,732,0.207207207207207,"Singlet","7","7"
"HIP002.528","SeuratProject",1482,726,0.18018018018018,"Singlet","7","7"
"HIP002.529","SeuratProject",1172,740,0.0900900900900901,"Singlet","5","5"
"HIP002.530","SeuratProject",1215,725,0.00900900900900901,"Singlet","2","2"
"HIP002.531","SeuratProject",1234,741,0.117117117117117,"Singlet","3","3"
"HIP002.532","SeuratProject",1258,737,0.0630630630630631,"Singlet","3","3"
"HIP002.533","SeuratProject",1358,677,0.0990990990990991,"Singlet","4","4"
"HIP002.534","SeuratProject",1159,731,0,"Singlet","0","0"
"HIP002.535","SeuratProject",1208,720,0.00900900900900901,"Singlet","1","1"
"HIP002.536","SeuratProject",1219,724,0,"Singlet","0","0"
"HIP002.537","SeuratProject",1144,725,0,"Singlet","2","2"
"HIP002.538","SeuratProject",1491,722,0.027027027027027,"Singlet","4","4"
"HIP002.540","SeuratProject",1689,727,0.045045045045045,"Singlet","4","4"
"HIP002.541","SeuratProject",1118,728,0.324324324324324,"Singlet","0","0"
"HIP002.542","SeuratProject",1274,735,0.00900900900900901,"Singlet","2","2"
"HIP002.543","SeuratProject",1393,729,0.00900900900900901,"Singlet","0","0"
"HIP002.545","SeuratProject",1243,737,0,"Singlet","2","2"
"HIP002.546","SeuratProject",1312,729,0.00900900900900901,"Singlet","2","2"
"HIP002.547","SeuratProject",1340,732,0.045045045045045,"Singlet","2","2"
"HIP002.548","SeuratProject",1066,748,0.0990990990990991,"Singlet","5","5"
"HIP002.549","SeuratProject",1310,740,0.0630630630630631,"Singlet","3","3"
"HIP002.550","SeuratProject",1082,676,0.198198198198198,"Singlet","0","0"
"HIP002.551","SeuratProject",1246,742,0,"Singlet","0","0"
"HIP002.552","SeuratProject",1378,726,0.018018018018018,"Singlet","0","0"
"HIP002.553","SeuratProject",1231,746,0.135135135135135,"Singlet","5","5"
"HIP002.554","SeuratProject",1459,740,0.252252252252252,"Singlet","13","13"
"HIP002.555","SeuratProject",1638,736,0.189189189189189,"Singlet","2","2"
"HIP002.556","SeuratProject",1223,742,0.351351351351351,"Singlet","7","7"
"HIP002.557","SeuratProject",1283,739,0.252252252252252,"Singlet","2","2"
"HIP002.559","SeuratProject",1442,746,0.162162162162162,"Singlet","3","3"
"HIP002.560","SeuratProject",1582,732,0.018018018018018,"Singlet","2","2"
"HIP002.562","SeuratProject",1226,750,0.00900900900900901,"Singlet","0","0"
"HIP002.563","SeuratProject",1231,730,0.027027027027027,"Singlet","2","2"
"HIP002.564","SeuratProject",1392,745,0.162162162162162,"Singlet","3","3"
"HIP002.566","SeuratProject",1295,731,0,"Singlet","2","2"
"HIP002.567","SeuratProject",1092,745,0.108108108108108,"Singlet","3","3"
"HIP002.568","SeuratProject",1137,738,0.018018018018018,"Singlet","0","0"
"HIP002.569","SeuratProject",1178,742,0.117117117117117,"Singlet","4","4"
"HIP002.572","SeuratProject",1495,740,0,"Singlet","1","1"
"HIP002.573","SeuratProject",2023,731,0.162162162162162,"Singlet","6","6"
"HIP002.574","SeuratProject",1143,736,0.036036036036036,"Singlet","2","2"
"HIP002.575","SeuratProject",1145,717,0.045045045045045,"Singlet","0","0"
"HIP002.576","SeuratProject",1354,745,0.0540540540540541,"Singlet","2","2"
"HIP002.577","SeuratProject",1360,744,0.216216216216216,"Singlet","2","2"
"HIP002.579","SeuratProject",1702,735,0.117117117117117,"Singlet","3","3"
"HIP002.580","SeuratProject",1063,731,0.00900900900900901,"Singlet","0","0"
"HIP002.581","SeuratProject",1457,750,0.045045045045045,"Singlet","0","0"
"HIP002.582","SeuratProject",1057,719,0,"Singlet","2","2"
"HIP002.583","SeuratProject",1141,760,0.252252252252252,"Singlet","5","5"
"HIP002.584","SeuratProject",1247,740,0.027027027027027,"Singlet","0","0"
"HIP002.585","SeuratProject",1284,752,0.027027027027027,"Singlet","2","2"
"HIP002.586","SeuratProject",1277,697,0.0540540540540541,"Singlet","4","4"
"HIP002.587","SeuratProject",1549,747,0.117117117117117,"Singlet","3","3"
"HIP002.588","SeuratProject",1050,682,0.108108108108108,"Singlet","0","0"
"HIP002.589","SeuratProject",1240,738,0.027027027027027,"Singlet","0","0"
"HIP002.590","SeuratProject",1282,755,0.0900900900900901,"Singlet","3","3"
"HIP002.591","SeuratProject",1380,748,0.0630630630630631,"Singlet","2","2"
"HIP002.592","SeuratProject",1404,734,0.00900900900900901,"Singlet","2","2"
"HIP002.593","SeuratProject",1050,754,0.027027027027027,"Singlet","2","2"
"HIP002.594","SeuratProject",1193,743,0,"Singlet","2","2"
"HIP002.595","SeuratProject",2105,744,0.198198198198198,"Singlet","6","6"
"HIP002.596","SeuratProject",1151,717,0.036036036036036,"Singlet","2","2"
"HIP002.597","SeuratProject",1272,747,0.0720720720720721,"Singlet","1","1"
"HIP002.598","SeuratProject",1394,747,0.00900900900900901,"Singlet","2","2"
"HIP002.599","SeuratProject",1989,758,0.126126126126126,"Singlet","2","2"
"HIP002.600","SeuratProject",1270,749,0.018018018018018,"Singlet","1","1"
"HIP002.601","SeuratProject",1354,730,0.045045045045045,"Singlet","2","2"
"HIP002.602","SeuratProject",1698,756,0.018018018018018,"Singlet","1","1"
"HIP002.603","SeuratProject",1272,749,0.00900900900900901,"Singlet","0","0"
"HIP002.604","SeuratProject",1370,758,0.018018018018018,"Singlet","2","2"
"HIP002.605","SeuratProject",1752,752,0.117117117117117,"Singlet","3","3"
"HIP002.606","SeuratProject",1302,725,0.225225225225225,"Singlet","7","7"
"HIP002.607","SeuratProject",1602,750,0.018018018018018,"Singlet","1","1"
"HIP002.608","SeuratProject",1109,759,0.027027027027027,"Singlet","0","0"
"HIP002.609","SeuratProject",1427,744,0.027027027027027,"Singlet","0","0"
"HIP002.610","SeuratProject",1650,763,0.0720720720720721,"Singlet","3","3"
"HIP002.611","SeuratProject",1329,756,0.018018018018018,"Singlet","2","2"
"HIP002.612","SeuratProject",1441,750,0.036036036036036,"Singlet","2","2"
"HIP002.613","SeuratProject",1544,755,0.225225225225225,"Singlet","7","7"
"HIP002.614","SeuratProject",1551,757,0.027027027027027,"Singlet","8","8"
"HIP002.615","SeuratProject",1283,774,0.234234234234234,"Singlet","7","7"
"HIP002.616","SeuratProject",1382,765,0.018018018018018,"Singlet","1","1"
"HIP002.617","SeuratProject",1470,762,0.369369369369369,"Singlet","12","12"
"HIP002.618","SeuratProject",1478,767,0.027027027027027,"Singlet","1","1"
"HIP002.619","SeuratProject",1159,763,0.0720720720720721,"Singlet","5","5"
"HIP002.620","SeuratProject",1227,768,0.189189189189189,"Singlet","12","12"
"HIP002.621","SeuratProject",1323,755,0.045045045045045,"Singlet","2","2"
"HIP002.622","SeuratProject",1725,756,0.135135135135135,"Singlet","3","3"
"HIP002.623","SeuratProject",1529,764,0.018018018018018,"Singlet","8","8"
"HIP002.624","SeuratProject",1477,752,0.162162162162162,"Singlet","3","3"
"HIP002.625","SeuratProject",1675,764,0.027027027027027,"Singlet","1","1"
"HIP002.626","SeuratProject",1315,781,0.027027027027027,"Singlet","2","2"
"HIP002.627","SeuratProject",1324,767,0.027027027027027,"Singlet","1","1"
"HIP002.628","SeuratProject",1393,768,0.0540540540540541,"Singlet","1","1"
"HIP002.629","SeuratProject",1676,750,0.018018018018018,"Singlet","2","2"
"HIP002.630","SeuratProject",1441,763,0,"Singlet","2","2"
"HIP002.631","SeuratProject",1519,764,0.018018018018018,"Singlet","4","4"
"HIP002.632","SeuratProject",1236,755,0.207207207207207,"Singlet","2","2"
"HIP002.633","SeuratProject",1296,769,0.036036036036036,"Singlet","2","2"
"HIP002.634","SeuratProject",1303,769,0.0540540540540541,"Singlet","2","2"
"HIP002.636","SeuratProject",1678,770,0.00900900900900901,"Singlet","1","1"
"HIP002.637","SeuratProject",1316,774,0.00900900900900901,"Singlet","2","2"
"HIP002.638","SeuratProject",1364,762,0.018018018018018,"Singlet","0","0"
"HIP002.639","SeuratProject",1300,781,0.171171171171171,"Singlet","5","5"
"HIP002.640","SeuratProject",1435,760,0.00900900900900901,"Singlet","2","2"
"HIP002.641","SeuratProject",1665,771,0.045045045045045,"Singlet","1","1"
"HIP002.642","SeuratProject",1232,778,0.00900900900900901,"Singlet","0","0"
"HIP002.643","SeuratProject",1351,775,0,"Singlet","0","0"
"HIP002.644","SeuratProject",1338,760,0.153153153153153,"Singlet","3","3"
"HIP002.645","SeuratProject",1498,767,0.0720720720720721,"Singlet","0","0"
"HIP002.646","SeuratProject",1625,770,0.0630630630630631,"Singlet","1","1"
"HIP002.647","SeuratProject",1366,784,0.00900900900900901,"Singlet","0","0"
"HIP002.648","SeuratProject",1437,667,0.00900900900900901,"Singlet","0","0"
"HIP002.649","SeuratProject",1630,756,0.00900900900900901,"Singlet","2","2"
"HIP002.650","SeuratProject",1308,790,0.0720720720720721,"Singlet","3","3"
"HIP002.651","SeuratProject",1410,776,0.0720720720720721,"Singlet","4","4"
"HIP002.652","SeuratProject",1484,789,0.432432432432432,"Singlet","7","7"
"HIP002.653","SeuratProject",1491,768,0.027027027027027,"Singlet","2","2"
"HIP002.654","SeuratProject",1786,779,0.027027027027027,"Singlet","8","8"
"HIP002.655","SeuratProject",1280,786,0.126126126126126,"Singlet","3","3"
"HIP002.656","SeuratProject",1440,778,0.00900900900900901,"Singlet","1","1"
"HIP002.657","SeuratProject",1456,785,0.018018018018018,"Singlet","0","0"
"HIP002.658","SeuratProject",1446,770,0.0630630630630631,"Singlet","2","2"
"HIP002.659","SeuratProject",1526,778,0.00900900900900901,"Singlet","2","2"
"HIP002.660","SeuratProject",1942,774,0.0900900900900901,"Singlet","3","3"
"HIP002.661","SeuratProject",1369,727,0,"Singlet","0","0"
"HIP002.663","SeuratProject",1368,769,0.189189189189189,"Singlet","4","4"
"HIP002.664","SeuratProject",1820,785,0.18018018018018,"Singlet","3","3"
"HIP002.665","SeuratProject",1829,778,0.018018018018018,"Singlet","1","1"
"HIP002.668","SeuratProject",1637,771,0.027027027027027,"Singlet","4","4"
"HIP002.669","SeuratProject",1267,786,0.027027027027027,"Singlet","2","2"
"HIP002.670","SeuratProject",1303,792,0.144144144144144,"Singlet","1","1"
"HIP002.671","SeuratProject",1401,773,0.27027027027027,"Singlet","7","7"
"HIP002.672","SeuratProject",1465,772,0.234234234234234,"Singlet","6","6"
"HIP002.673","SeuratProject",1250,789,0.36036036036036,"Singlet","13","13"
"HIP002.674","SeuratProject",1295,787,0.0630630630630631,"Singlet","5","5"
"HIP002.675","SeuratProject",1252,740,0.171171171171171,"Singlet","3","3"
"HIP002.676","SeuratProject",1369,776,0.018018018018018,"Singlet","1","1"
"HIP002.677","SeuratProject",1852,758,0.045045045045045,"Singlet","4","4"
"HIP002.678","SeuratProject",1327,788,0.0630630630630631,"Singlet","2","2"
"HIP002.679","SeuratProject",1350,795,0.027027027027027,"Singlet","0","0"
"HIP002.680","SeuratProject",1392,766,0.0540540540540541,"Singlet","0","0"
"HIP002.681","SeuratProject",1717,788,0.252252252252252,"Singlet","7","7"
"HIP002.682","SeuratProject",1187,687,0.0540540540540541,"Singlet","0","0"
"HIP002.683","SeuratProject",1130,742,0.297297297297297,"Singlet","0","0"
"HIP002.684","SeuratProject",1304,797,0.117117117117117,"Singlet","8","8"
"HIP002.685","SeuratProject",1243,789,0.0810810810810811,"Singlet","6","6"
"HIP002.686","SeuratProject",1337,789,0.0540540540540541,"Singlet","0","0"
"HIP002.687","SeuratProject",1362,805,0.036036036036036,"Singlet","8","8"
"HIP002.688","SeuratProject",1644,805,0.126126126126126,"Singlet","5","5"
"HIP002.691","SeuratProject",1605,791,0.171171171171171,"Singlet","7","7"
"HIP002.692","SeuratProject",1502,788,0.0720720720720721,"Singlet","2","2"
"HIP002.693","SeuratProject",1641,784,0.018018018018018,"Singlet","2","2"
"HIP002.694","SeuratProject",1530,766,0.036036036036036,"Singlet","1","1"
"HIP002.695","SeuratProject",1612,799,0.0900900900900901,"Singlet","4","4"
"HIP002.696","SeuratProject",1425,803,0.045045045045045,"Singlet","0","0"
"HIP002.697","SeuratProject",1459,788,0.0540540540540541,"Singlet","2","2"
"HIP002.698","SeuratProject",1495,780,0,"Singlet","0","0"
"HIP002.699","SeuratProject",1574,795,0.018018018018018,"Singlet","2","2"
"HIP002.700","SeuratProject",1322,801,0.036036036036036,"Singlet","0","0"
"HIP002.701","SeuratProject",1374,779,0.0540540540540541,"Singlet","0","0"
"HIP002.702","SeuratProject",1687,796,0.18018018018018,"Singlet","3","3"
"HIP002.703","SeuratProject",1735,796,0.216216216216216,"Singlet","1","1"
"HIP002.704","SeuratProject",1424,802,0.117117117117117,"Singlet","5","5"
"HIP002.705","SeuratProject",1590,792,0.018018018018018,"Singlet","0","0"
"HIP002.706","SeuratProject",1387,804,0.252252252252252,"Singlet","13","13"
"HIP002.707","SeuratProject",1749,811,0,"Singlet","2","2"
