"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RNF125",5.73331288231325e-13,0.336964706477666,0.232,0.1,1.5113586089066e-08
"ANKRD36",6.40497071568032e-13,0.425949001516752,0.185,0.071,1.68841433036049e-08
"LAPTM5",9.76586315152012e-13,-0.355704029337919,0.894,0.935,2.57437918537222e-08
"TMEM181",1.13122486072232e-12,0.370356203778715,0.155,0.055,2.9820218553501e-08
"CYTH1",1.31044937306775e-12,0.474730673857076,0.597,0.424,3.45447559234389e-08
"DOCK10",1.33027445303355e-12,0.498408596565412,0.313,0.166,3.50673648564173e-08
"DDX6",1.50901184628298e-12,0.435973611995042,0.417,0.25,3.97790612798657e-08
"RARRES3",1.5174835807329e-12,0.357860809546865,0.288,0.141,4.00023846717e-08
"KIF21B",1.59381263051301e-12,0.283944588124754,0.122,0.036,4.20144947529535e-08
"LDHB",1.62266138439631e-12,0.507384431222671,0.446,0.277,4.27749767540712e-08
"RASA2",1.69098688235798e-12,0.369331801436584,0.216,0.094,4.45761052058388e-08
"TTC38",1.76476078762537e-12,0.306487471176001,0.146,0.05,4.65208591225924e-08
"CBLB",1.98033836969191e-12,0.295786781149705,0.117,0.034,5.22036997634485e-08
"RPS4X",2.3068849617069e-12,0.314211904545024,0.944,0.907,6.08117944755556e-08
"RPS27",2.69971069286174e-12,0.467133052369,0.685,0.536,7.11670735745283e-08
"AP1S2",3.20007929931661e-12,-0.557161544192358,0.583,0.673,8.43572904092852e-08
"AMICA1",3.21380552666882e-12,-0.465053376772276,0.716,0.792,8.47191274885169e-08
"SYTL1",4.63199255232559e-12,0.428772411999164,0.23,0.106,1.22103955671855e-07
"TTC3",4.64838725501842e-12,0.478959657099866,0.507,0.329,1.22536136429541e-07
"BIRC3",4.67434131711398e-12,0.331712933109414,0.243,0.112,1.23220311460442e-07
"ESYT1",5.27505552196133e-12,0.403069363273288,0.291,0.147,1.39055738614423e-07
"TAF7",5.59136767152369e-12,0.39656086961385,0.376,0.209,1.47394043189036e-07
"ZBTB37",6.11895723887183e-12,0.379565769031371,0.14,0.048,1.613018317739e-07
"KMT2A",6.56598549639102e-12,0.484804980059814,0.486,0.31,1.73085943670364e-07
"CASP8",7.01823603068418e-12,0.439304397449644,0.387,0.227,1.85007720004866e-07
"SPN",7.84820704061508e-12,0.531929857802569,0.55,0.373,2.06886585797654e-07
"LNPEP",7.99662031660846e-12,0.397239791789033,0.471,0.297,2.10798908166116e-07
"HBB",8.35357905212743e-12,2.31587150778798,0.106,0.031,2.20208697393131e-07
"PPM1K",8.45248973891162e-12,0.395106283152473,0.146,0.052,2.22816082007449e-07
"GLTSCR2",8.82880775712574e-12,0.428585633324,0.77,0.646,2.32736201285592e-07
"GNAI2",8.89017544180939e-12,-0.377742980553682,0.791,0.861,2.34353914821537e-07
"PABPC1",1.21320837966697e-11,-0.250703682407012,0.982,0.99,3.19813860964009e-07
"HLA-DRB1",1.2584938301372e-11,-0.462615946779433,0.849,0.916,3.31751558562468e-07
"TMC6",1.35218102576322e-11,0.442114803990927,0.293,0.154,3.56448440201443e-07
"ITPKB",1.58216983710536e-11,0.313795958158801,0.241,0.113,4.17075790759343e-07
"FYN",1.97165821296263e-11,0.440749488085765,0.518,0.347,5.19748821519079e-07
"NIPAL3",2.02833654937613e-11,0.325190524943219,0.117,0.037,5.34689797781041e-07
"MAP4K1",2.29738616810109e-11,0.341667857062884,0.182,0.076,6.05613967773128e-07
"RPL18",2.38234349674707e-11,0.298363133167827,0.948,0.913,6.28009569177496e-07
"RPLP2",2.763123484775e-11,0.362970584311209,0.894,0.827,7.28386981821539e-07
"PTPN7",2.96972056049703e-11,0.44247357193936,0.117,0.038,7.82848036952623e-07
"DROSHA",3.13526695459646e-11,0.278947955278044,0.151,0.056,8.26487721901172e-07
"NAP1L4",3.1763304708427e-11,0.353817724386161,0.318,0.17,8.37312475418843e-07
"VCPIP1",3.61772169452525e-11,0.4273744453692,0.318,0.171,9.53667615893801e-07
"GPX1",4.28405330131739e-11,-0.455819056431996,0.698,0.776,1.12931929076028e-06
"SNHG1",5.26687476211696e-11,0.394041264266787,0.212,0.097,1.38840085604165e-06
"ACTB",5.48674698509285e-11,-0.304737969373218,0.946,0.968,1.44636137274033e-06
"ZCCHC11",5.52159774172212e-11,0.340098626991737,0.216,0.099,1.45554838069537e-06
"RPS29",5.63737727692708e-11,0.425841530484114,0.734,0.597,1.48606902397075e-06
"SLC44A2",5.66690223274408e-11,0.383626133734932,0.345,0.193,1.49385209757367e-06
"RNF213",5.86703310471169e-11,0.358874516027968,0.849,0.735,1.54660859673305e-06
"ARHGAP25",6.10810249883152e-11,0.39658753206873,0.363,0.214,1.61015689971698e-06
"ARHGEF3",6.65035369032304e-11,0.458035122571212,0.273,0.142,1.75309973630606e-06
"AXIN1",8.55548251586006e-11,0.296937971438608,0.189,0.081,2.25531074600587e-06
"HERC1",1.02498533681401e-10,0.500859530025224,0.426,0.27,2.70196384637542e-06
"CERK",1.21262930591969e-10,0.325486168169622,0.302,0.161,3.19661211333491e-06
"PPP2R5C",1.22171261249352e-10,0.407902551989269,0.489,0.325,3.22055661779417e-06
"AMZ2",1.56234232310902e-10,0.357859915512844,0.203,0.092,4.1184905979477e-06
"CCSER2",1.89661419066075e-10,0.435671782753789,0.198,0.091,4.9996646680008e-06
"PIM1",2.65025550696724e-10,0.399220429431782,0.243,0.122,6.98633854191633e-06
"USP28",2.96391546839783e-10,0.311208952703579,0.137,0.052,7.81317756624351e-06
"CUTA",3.2423630354493e-10,0.388482005824126,0.342,0.201,8.54719319774789e-06
"TBC1D4",3.81542419763937e-10,0.373408987349412,0.146,0.059,1.00578397273971e-05
"CD74",3.89913294789598e-10,-0.33434535800202,0.946,0.962,1.02785043639486e-05
"ARPC5L",4.01515041887372e-10,0.368916612205321,0.2,0.094,1.0584338019193e-05
"DIP2A",4.30521140838957e-10,0.496591826539209,0.284,0.156,1.13489677936557e-05
"ATP8A1",4.69042100543598e-10,0.305645916909087,0.142,0.055,1.23644188124298e-05
"S100A6",5.0322835467341e-10,-0.389945998067135,0.775,0.826,1.32656026575458e-05
"HMOX2",5.32887224606097e-10,0.372818208957411,0.178,0.079,1.40474401278413e-05
"DUSP2",5.36161212443093e-10,0.365309260431357,0.241,0.122,1.41337457212124e-05
"CXCR4",5.83047641092967e-10,0.379811951484859,0.396,0.243,1.53697188668517e-05
"BTN3A3",5.85770183071335e-10,0.388706996233249,0.288,0.158,1.54414877959435e-05
"SAMHD1",6.31205812806664e-10,-0.351932245776447,0.869,0.893,1.66392164313965e-05
"FGL2",6.75339099785122e-10,-0.342071089792225,0.856,0.878,1.78026140094356e-05
"CX3CR1",6.88312687048255e-10,0.384821669188583,0.342,0.2,1.81446107432791e-05
"IKZF1",8.28106504414656e-10,0.434012062801332,0.547,0.398,2.18297155628747e-05
"BUB3",8.50441208052225e-10,0.335766035862347,0.284,0.156,2.24184806854647e-05
"APOBEC3G",9.6519384085579e-10,0.415211499918306,0.266,0.144,2.54434748387995e-05
"PTPRC",9.75038210455108e-10,0.25685035295878,0.968,0.924,2.57029822658071e-05
"MT-ND1",9.79398995961688e-10,-0.266220314474237,0.964,0.967,2.58179369325461e-05
"C5orf56",1.18652321292488e-09,0.261247883766265,0.117,0.042,3.12779384159126e-05
"C10orf54",1.27575711135819e-09,-0.38204012905044,0.705,0.76,3.36302332125133e-05
"PAPD5",1.3861094857343e-09,0.274209039940787,0.221,0.11,3.6539232153442e-05
"DMXL2",1.52513040095143e-09,-0.545632139047538,0.5,0.588,4.02039624994805e-05
"SATB1",1.5486966233127e-09,0.366086486911971,0.336,0.201,4.08251916871462e-05
"RINL",1.62957922486771e-09,0.252377993663561,0.113,0.039,4.29573379467377e-05
"RASSF2",1.64003791303961e-09,-0.430571245778198,0.633,0.712,4.32330394256373e-05
"PSD4",1.8721617517661e-09,0.338233222096419,0.306,0.173,4.93520559383061e-05
