"","orig.ident","nCount_RNA","nFeature_RNA","Donor","celltype","RNA_snn_res.0.5","seurat_clusters","S.Score","G2M.Score","Phase","old.ident","nCount_SCT","nFeature_SCT","SCT_snn_res.3"
"HIP002.379","SeuratProject",1139,674,"H1","CD14 Monocyte","3","14",-0.0526337088284403,-0.0677369582631724,"G1","3",1469,674,"14"
"HIP002.385","SeuratProject",1225,672,"H1","CD14 Monocyte","3","6",-0.0464933116426225,-0.05380519488054,"G1","3",1536,672,"6"
"HIP002.388","SeuratProject",1329,665,"H1","CD14 Monocyte","7","6",0.00349778689089086,-0.100496681774737,"S","7",1594,664,"6"
"HIP002.391","SeuratProject",1360,682,"H1","CD14 Monocyte","3","17",0.00661680272787563,-0.0433980842274423,"S","3",1586,681,"17"
"HIP002.392","SeuratProject",1374,686,"H1","CD14 Monocyte","2","6",-0.036257963292242,-0.0826241343442636,"G1","2",1602,685,"6"
"HIP002.393","SeuratProject",1346,663,"H1","CD14 Monocyte","2","7",-0.0533696516058204,0.00848677397317674,"G2M","2",1575,662,"7"
"HIP002.405","SeuratProject",1221,670,"H1","CD14 Monocyte","2","5",-0.0471574049301057,-0.0506868448170102,"G1","2",1536,670,"5"
"HIP002.409","SeuratProject",1436,679,"H1","CD14 Monocyte","3","13",-0.0467756340121235,-0.0808295511393911,"G1","3",1630,679,"13"
"HIP002.411","SeuratProject",1143,682,"H1","CD14 Monocyte","3","6",-0.0742260767371041,-0.0854801141266441,"G1","3",1504,682,"6"
"HIP002.421","SeuratProject",1166,695,"H1","CD16 Monocyte","5","7",-0.0656902337833728,-0.0100565654738365,"G1","5",1500,695,"7"
"HIP002.423","SeuratProject",1102,699,"H1","CD16 Monocyte","5","7",-0.0494408205107922,-0.0284728726365578,"G1","5",1442,702,"7"
"HIP002.424","SeuratProject",1080,643,"H1","CD14 Monocyte","3","5",-0.00476236356963819,-0.00124008298215861,"G1","3",1461,646,"5"
"HIP002.428","SeuratProject",1189,682,"H1","CD14 Monocyte","3","10",-0.0055715201865362,-0.00288245283863073,"G1","3",1520,682,"10"
"HIP002.439","SeuratProject",1389,695,"H1","CD14 Monocyte","7","6",-0.0405667882185602,-0.0105603812293174,"G1","7",1605,695,"6"
"HIP002.443","SeuratProject",1666,693,"H1","CD14 Monocyte","3","17",-0.0482032153253942,-0.013144769199278,"G1","3",1738,693,"17"
"HIP002.445","SeuratProject",1299,705,"H1","CD14 Monocyte","6","14",-0.0452600543336052,-0.0651341358299982,"G1","6",1569,705,"14"
"HIP002.457","SeuratProject",1348,702,"H1","CD14 Monocyte","2","14",-0.000757762859397347,-0.0615206402411847,"G1","2",1577,702,"14"
"HIP002.468","SeuratProject",1567,699,"H1","CD14 Monocyte","2","13",-0.0428954428135076,-0.0980027235622294,"G1","2",1686,699,"13"
"HIP002.470","SeuratProject",1482,708,"H1","CD14 Monocyte","3","14",-0.0502629971838315,0.0252127317535121,"G2M","3",1650,708,"14"
"HIP002.472","SeuratProject",1521,710,"H1","CD14 Monocyte","3","14",0.0898556622507493,0.0283820233558036,"S","3",1662,710,"14"
"HIP002.481","SeuratProject",1604,707,"H1","CD16 Monocyte","5","6",0.0187850517142981,-0.049214200794169,"S","5",1705,706,"6"
"HIP002.487","SeuratProject",1345,717,"H1","CD14 Monocyte","3","14",0.0194113990581717,-0.0953738178917557,"S","3",1580,717,"14"
"HIP002.489","SeuratProject",1417,719,"H1","CD14 Monocyte","3","6",0.00568729109742193,-0.0616059370107037,"S","3",1606,719,"6"
"HIP002.490","SeuratProject",1937,704,"H1","CD14 Monocyte","2","6",0.0383081587602828,-0.0772507344646745,"S","2",1900,702,"6"
"HIP002.494","SeuratProject",1245,718,"H1","CD16 Monocyte","5","7",-0.058310803601779,-0.00668227899506302,"G1","5",1535,718,"7"
"HIP002.496","SeuratProject",1272,718,"H1","CD14 Monocyte","3","5",0.00130798901527207,-0.00602268079243461,"S","3",1547,718,"5"
"HIP002.506","SeuratProject",1194,721,"H1","CD16 Monocyte","5","6",-0.0131464178649601,-0.0623361082431633,"G1","5",1502,720,"6"
"HIP002.507","SeuratProject",1414,714,"H1","CD14 Monocyte","3","17",-0.00164210403480386,-0.0528521506064897,"G1","3",1609,712,"17"
"HIP002.508","SeuratProject",1397,702,"H1","CD14 Monocyte","7","6",-0.0467888594705846,-0.042106605669175,"G1","7",1607,702,"6"
"HIP002.518","SeuratProject",1088,724,"H1","CD16 Monocyte","5","7",-0.00635323394743468,-0.10544553086014,"G1","5",1425,727,"7"
"HIP002.520","SeuratProject",1263,711,"H1","CD14 Monocyte","7","11",-0.0546528665262981,-0.017837642204334,"G1","7",1549,710,"11"
